[ INFO] [1775033729.693480744, 60.380000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.12
[ INFO] [1775033729.693507945, 60.380000000]: Control Output - Linear X: -1.00, Linear Y: 0.04, Angular Z: 1.00
[ INFO] [1775033729.974450121, 60.480000000]: Current Position - X: 0.98, Y: -0.06, Theta: 0.55
[ INFO] [1775033729.974541135, 60.480000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.35
[ INFO] [1775033729.974571665, 60.480000000]: Control Output - Linear X: 1.00, Linear Y: 1.00, Angular Z: -0.96
[ INFO] [1775033730.217570270, 60.580000000]: Current Position - X: 0.93, Y: -0.08, Theta: 0.55
[ INFO] [1775033730.217661476, 60.580000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.34
[ INFO] [1775033730.217689638, 60.580000000]: Control Output - Linear X: 0.55, Linear Y: 1.00, Angular Z: 0.78
[ INFO] [1775033730.383442882, 60.680000000]: Current Position - X: 0.94, Y: -0.08, Theta: 0.55
[ INFO] [1775033730.383528999, 60.680000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.34
[ INFO] [1775033730.383556425, 60.680000000]: Control Output - Linear X: 0.50, Linear Y: 1.00, Angular Z: 0.80
[ INFO] [1775033730.549574997, 60.780000000]: Current Position - X: 0.98, Y: -0.06, Theta: 0.55
[ INFO] [1775033730.549660539, 60.780000000]: Lookahead Point - X: 1.45, Y: 2.08, Theta: 1.36
[ INFO] [1775033730.549690781, 60.780000000]: Control Output - Linear X: 0.43, Linear Y: 1.00, Angular Z: 0.82
[ INFO] [1775033730.716507515, 60.880000000]: Current Position - X: 1.06, Y: -0.01, Theta: 0.55
[ INFO] [1775033730.716592288, 60.880000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: 3.13
[ INFO] [1775033730.716620002, 60.880000000]: Control Output - Linear X: -1.00, Linear Y: -1.00, Angular Z: 1.00
[ INFO] [1775033731.009590999, 60.980000000]: Current Position - X: 1.12, Y: 0.03, Theta: 0.57
[ INFO] [1775033731.009674269, 60.980000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: -3.12
[ INFO] [1775033731.009719423, 60.980000000]: Control Output - Linear X: -1.00, Linear Y: -0.06, Angular Z: 1.00
[ INFO] [1775033731.190177185, 61.080000000]: Current Position - X: 1.13, Y: 0.02, Theta: 0.59
[ INFO] [1775033731.190268294, 61.080000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: -3.12
[ INFO] [1775033731.190296424, 61.080000000]: Control Output - Linear X: -1.00, Linear Y: -0.02, Angular Z: 1.00
[ INFO] [1775033731.356924716, 61.180000000]: Current Position - X: 1.09, Y: 0.00, Theta: 0.59
[ INFO] [1775033731.357004049, 61.180000000]: Lookahead Point - X: -0.01, Y: 0.00, Theta: -3.14
[ INFO] [1775033731.357033427, 61.180000000]: Control Output - Linear X: -1.00, Linear Y: 0.02, Angular Z: 1.00
